<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBCB,D,20190517,000000,1015.6000000,1020.4000000,1015.6000000,1019.0000000,1862
SBCB,D,20190520,000000,1017.6000000,1019.6000000,1015.4000000,1018.0000000,968
SBCB,D,20190521,000000,1018.0000000,1028.0000000,1014.6000000,1016.0000000,477
SBCB,D,20190522,000000,1010.2000000,1030.6000000,1010.2000000,1014.8000000,801
SBCB,D,20190523,000000,1013.0000000,1019.4000000,1011.6000000,1014.6000000,1317
SBCB,D,20190524,000000,1016.4000000,1016.4000000,1012.0000000,1013.2000000,1064
SBCB,D,20190527,000000,1018.2000000,1018.2000000,1015.4000000,1017.0000000,563
SBCB,D,20190528,000000,1019.6000000,1021.2000000,1017.6000000,1020.8000000,727
SBCB,D,20190529,000000,1025.0000000,1031.4000000,1022.8000000,1026.8000000,752
SBCB,D,20190530,000000,1035.0000000,1069.8000000,1020.0000000,1026.4000000,769
SBCB,D,20190531,000000,1034.2000000,1046.0000000,1025.4000000,1027.8000000,234
SBCB,D,20190603,000000,1033.0000000,1035.0000000,1026.8000000,1030.2000000,669
SBCB,D,20190604,000000,1027.4000000,1034.8000000,1020.6000000,1028.4000000,748
SBCB,D,20190605,000000,1029.4000000,1031.8000000,1026.0000000,1030.0000000,797
SBCB,D,20190606,000000,1032.4000000,1032.4000000,1028.6000000,1031.2000000,1313
SBCB,D,20190607,000000,1034.0000000,1034.6000000,1026.0000000,1027.6000000,579
SBCB,D,20190610,000000,1025.6000000,1026.0000000,1024.2000000,1025.2000000,503
SBCB,D,20190611,000000,1028.0000000,1028.0000000,1021.0000000,1024.0000000,1012
SBCB,D,20190613,000000,1021.8000000,1028.2000000,1021.8000000,1025.6000000,670
SBCB,D,20190614,000000,1025.0000000,1025.0000000,1020.0000000,1023.0000000,443
SBCB,D,20190617,000000,1025.0000000,1043.4000000,1016.8000000,1022.2000000,1091
