<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBGB,D,20190329,000000,1019.0000000,1019.0000000,1016.0000000,1016.0000000,480
SBGB,D,20190401,000000,1013.8000000,1017.0000000,1013.8000000,1016.0000000,413
SBGB,D,20190402,000000,1016.4000000,1016.4000000,1013.0000000,1013.0000000,389
SBGB,D,20190403,000000,1014.0000000,1016.6000000,1013.8000000,1016.2000000,486
SBGB,D,20190404,000000,1016.2000000,1016.8000000,1013.8000000,1016.0000000,494
SBGB,D,20190405,000000,1027.8000000,1027.8000000,1014.4000000,1017.2000000,344
SBGB,D,20190408,000000,1016.6000000,1020.2000000,1016.6000000,1019.4000000,901
SBGB,D,20190409,000000,1029.0000000,1029.0000000,1017.8000000,1021.6000000,720
SBGB,D,20190410,000000,1029.4000000,1029.4000000,1019.0000000,1022.0000000,275
SBGB,D,20190411,000000,1001.8000000,1024.0000000,1001.8000000,1024.0000000,570
SBGB,D,20190412,000000,1024.8000000,1024.8000000,1022.0000000,1022.0000000,502
SBGB,D,20190415,000000,1026.6000000,1027.0000000,1022.6000000,1025.6000000,330
SBGB,D,20190416,000000,1030.8000000,1030.8000000,1022.8000000,1023.2000000,473
SBGB,D,20190417,000000,1026.2000000,1043.6000000,1022.6000000,1024.6000000,327
SBGB,D,20190418,000000,1039.8000000,1039.8000000,1023.6000000,1025.2000000,641
SBGB,D,20190419,000000,1025.2000000,1044.8000000,1023.4000000,1024.4000000,510
SBGB,D,20190422,000000,1031.8000000,1031.8000000,1023.0000000,1025.0000000,751
SBGB,D,20190423,000000,1012.4000000,1025.2000000,1012.4000000,1024.0000000,624
SBGB,D,20190424,000000,1044.6000000,1044.6000000,1023.0000000,1023.0000000,2249
SBGB,D,20190425,000000,1024.0000000,1024.0000000,1021.4000000,1021.4000000,224
SBGB,D,20190426,000000,1039.2000000,1039.2000000,1021.4000000,1024.0000000,469
SBGB,D,20190429,000000,1038.8000000,1038.8000000,1005.0000000,1027.0000000,827
SBGB,D,20190430,000000,1006.6000000,1030.0000000,1006.6000000,1029.8000000,1337
SBGB,D,20190502,000000,1042.6000000,1042.8000000,1019.2000000,1039.2000000,477
SBGB,D,20190503,000000,1040.2000000,1065.8000000,1040.0000000,1065.8000000,165
SBGB,D,20190506,000000,1035.0000000,1035.0000000,1030.0000000,1030.4000000,2363
SBGB,D,20190507,000000,1025.2000000,1051.0000000,1025.2000000,1031.0000000,1409
SBGB,D,20190508,000000,1031.6000000,1032.0000000,1029.8000000,1031.8000000,32618
SBGB,D,20190510,000000,1025.0000000,1032.0000000,1025.0000000,1030.2000000,260
SBGB,D,20190513,000000,1034.8000000,1035.0000000,1030.2000000,1032.2000000,517
SBGB,D,20190514,000000,1030.0000000,1071.0000000,1019.2000000,1032.4000000,370
SBGB,D,20190515,000000,1032.0000000,1039.2000000,1020.2000000,1033.8000000,689
SBGB,D,20190516,000000,1039.6000000,1039.8000000,1032.8000000,1036.4000000,46307
SBGB,D,20190517,000000,1037.0000000,1038.4000000,1035.0000000,1038.4000000,33755
SBGB,D,20190520,000000,1039.4000000,1041.0000000,1037.6000000,1041.0000000,575
SBGB,D,20190521,000000,1040.0000000,1042.4000000,1038.8000000,1042.4000000,896
SBGB,D,20190522,000000,1050.0000000,1050.0000000,1041.6000000,1046.6000000,1396
SBGB,D,20190523,000000,1067.4000000,1067.4000000,1044.4000000,1045.4000000,1749
SBGB,D,20190524,000000,1059.2000000,1059.2000000,1044.4000000,1045.8000000,992
SBGB,D,20190527,000000,1057.4000000,1057.4000000,1024.8000000,1046.4000000,911
SBGB,D,20190528,000000,1050.0000000,1061.0000000,1045.2000000,1046.4000000,786
SBGB,D,20190529,000000,1045.0000000,1046.0000000,1043.6000000,1045.2000000,868
SBGB,D,20190530,000000,1050.0000000,1098.4000000,1035.6000000,1047.4000000,327
SBGB,D,20190531,000000,1050.0000000,1050.0000000,1045.0000000,1048.0000000,77852
SBGB,D,20190603,000000,1068.8000000,1068.8000000,1046.0000000,1047.6000000,631
SBGB,D,20190604,000000,1055.0000000,1059.8000000,1047.4000000,1049.4000000,234
SBGB,D,20190605,000000,1049.6000000,1052.2000000,1048.4000000,1052.0000000,1121
SBGB,D,20190606,000000,1053.0000000,1055.2000000,1053.0000000,1055.2000000,82467
SBGB,D,20190607,000000,1050.0000000,1058.8000000,1046.6000000,1056.2000000,300
SBGB,D,20190610,000000,1058.4000000,1059.4000000,1055.6000000,1059.4000000,1002
SBGB,D,20190611,000000,1051.0000000,1071.0000000,1051.0000000,1060.0000000,851
SBGB,D,20190613,000000,1061.6000000,1061.6000000,1058.6000000,1060.0000000,1279
SBGB,D,20190614,000000,1060.8000000,1061.6000000,1059.2000000,1061.6000000,228124
SBGB,D,20190617,000000,1078.4000000,1100.0000000,1057.2000000,1064.2000000,1003
SBGB,D,20190618,000000,1079.0000000,1089.4000000,1061.8000000,1064.0000000,1385
